Unnamed: 0,distance,duration,update_time,create_time,time_offset,mean_speed,end_time,max_speed,exercise_type,start_time,calorie,start_date,start,end_date,exercise_duration,exercise_duration_minutes,start_hour,end_hour,type,exercise_duration_int
427,2504.821,2471549,2018-02-17 00:51:01.418,2018-02-17 00:51:01.418,UTC-0400,1.1529497,2018-02-17 00:49:59.542,1.5,1001,2018-02-17 00:08:47.993,149.72,2018-02-17,00:08:47.993000,2018-02-17,0 days 00:41:11.549000000,41.192483333333335,0,0,Walking,41
96,1590.2720000000004,1577055,2018-02-18 18:43:13.477,2018-02-18 18:43:13.477,UTC-0400,1.0169703,2018-02-18 18:42:14.034,1.3055556,1001,2018-02-18 18:15:56.979,96.22,2018-02-18,18:15:56.979000,2018-02-18,0 days 00:26:17.055000000,26.28425,18,18,Walking,26
21,1957.181,1856921,2018-02-18 19:15:35.249,2018-02-18 19:15:35.249,UTC-0400,1.1661304,2018-02-18 19:14:35.430,1.4722222,1001,2018-02-18 18:43:38.509,116.19,2018-02-18,18:43:38.509000,2018-02-18,0 days 00:30:56.921000000,30.948683333333335,18,19,Walking,30
446,2910.113,2438135,2018-02-19 20:47:41.838,2018-02-19 20:47:41.838,UTC-0400,1.286526,2018-02-19 20:46:38.965,1.6666666,1001,2018-02-19 20:06:00.830,168.27,2018-02-19,20:06:00.830000,2018-02-19,0 days 00:40:38.135000000,40.63558333333334,20,20,Walking,40
50,2005.331,1625812,2018-02-19 21:30:51.052,2018-02-19 21:30:51.052,UTC-0400,1.4405574,2018-02-19 21:29:49.024,1.6944444,1001,2018-02-19 21:02:43.212,121.0,2018-02-19,21:02:43.212000,2018-02-19,0 days 00:27:05.812000000,27.096866666666667,21,21,Walking,27
157,1739.942,2031226,2018-02-24 23:24:39.351,2018-02-24 23:24:39.351,UTC-0400,0.98188126,2018-02-24 23:23:38.308,1.5240619,1001,2018-02-24 22:49:47.082,110.92,2018-02-24,22:49:47.082000,2018-02-24,0 days 00:33:51.226000000,33.853766666666665,22,23,Walking,33
131,1037.82,1017076,2018-03-01 00:13:52.221,2018-03-01 00:13:52.221,UTC-0400,1.3674446000000002,2018-03-01 00:12:51.189,1.7777778000000002,1001,2018-02-28 23:55:54.113,70.51,2018-02-28,23:55:54.113000,2018-03-01,0 days 00:16:57.076000000,16.951266666666665,23,0,Walking,16
330,1595.23,1557826,2018-03-03 23:11:09.956,2018-03-03 23:11:09.956,UTC-0400,1.0354218000000002,2018-03-03 23:10:08.445,1.3055556,1001,2018-03-03 22:44:10.619,98.65,2018-03-03,22:44:10.619000,2018-03-03,0 days 00:25:57.826000000,25.963766666666668,22,23,Walking,25
412,1981.08,1773072,2018-03-03 22:33:35.647,2018-03-03 22:33:35.647,UTC-0400,1.2438281999999998,2018-03-03 22:32:34.335,1.6388888,1001,2018-03-03 22:03:01.263,116.61,2018-03-03,22:03:01.263000,2018-03-03,0 days 00:29:33.072000000,29.5512,22,22,Walking,29
367,1301.747,1129419,2018-03-04 00:04:34.441,2018-03-04 00:04:34.441,UTC-0400,1.2251438,2018-03-04 00:03:33.213,1.3888888,1001,2018-03-03 23:44:43.794,76.0,2018-03-03,23:44:43.794000,2018-03-04,0 days 00:18:49.419000000,18.82365,23,0,Walking,18
372,1173.182,1226638,2018-03-04 20:56:10.361,2018-03-04 20:56:10.361,UTC-0400,1.1157646,2018-03-04 20:55:08.778,1.6111112,1001,2018-03-04 20:34:42.140,71.46,2018-03-04,20:34:42.140000,2018-03-04,0 days 00:20:26.638000000,20.443966666666668,20,20,Walking,20
4,1670.411,1680955,2018-03-04 23:26:13.923,2018-03-04 22:10:48.054,UTC-0400,1.0319625,2018-03-04 21:48:23.708,1.3333334,1001,2018-03-04 21:20:22.753,105.5,2018-03-04,21:20:22.753000,2018-03-04,0 days 00:28:00.955000000,28.01591666666667,21,21,Walking,28
190,1936.772,1914823,2018-03-04 20:32:29.235,2018-03-04 20:32:29.235,UTC-0400,1.1420529,2018-03-04 20:31:27.947,2.0123239,1001,2018-03-04 19:59:33.124,120.17,2018-03-04,19:59:33.124000,2018-03-04,0 days 00:31:54.823000000,31.91371666666667,19,20,Walking,31
370,964.67,1024925,2018-03-05 23:47:45.491,2018-03-05 23:47:45.491,UTC-0400,1.4480299,2018-03-05 23:46:45.333,1.8373358,1001,2018-03-05 23:29:40.408,69.3,2018-03-05,23:29:40.408000,2018-03-05,0 days 00:17:04.925000000,17.082083333333333,23,23,Walking,17
322,926.86,945669,2018-03-06 23:21:07.378,2018-03-06 23:21:07.378,UTC-0400,1.0941976,2018-03-06 23:20:07.487,1.25,1001,2018-03-06 23:04:21.818,59.57,2018-03-06,23:04:21.818000,2018-03-06,0 days 00:15:45.669000000,15.761150000000002,23,23,Walking,15
160,1471.381,1460661,2018-03-11 20:51:34.603,2018-03-11 20:51:34.603,UTC-0300,1.2546114,2018-03-11 20:50:32.570,2.2777777,1001,2018-03-11 20:26:11.909,107.35,2018-03-11,20:26:11.909000,2018-03-11,0 days 00:24:20.661000000,24.344350000000002,20,20,Walking,24
206,1812.9299,1447380,2018-03-11 20:55:01.811,2018-03-11 20:55:01.811,UTC-0300,1.2525598,2018-03-11 20:51:09.000,3.4444444,1001,2018-03-11 20:27:02.000,125.78,2018-03-11,20:27:02,2018-03-11,0 days 00:24:07.380000000,24.123,20,20,Walking,24
156,1161.96,1007828,2018-03-12 23:52:41.395,2018-03-12 23:52:41.395,UTC-0300,1.3497202,2018-03-12 23:51:41.016,1.6388888,1001,2018-03-12 23:34:53.188,68.08,2018-03-12,23:34:53.188000,2018-03-12,0 days 00:16:47.828000000,16.797133333333335,23,23,Walking,16
64,1306.02,1154405,2018-03-13 09:48:47.321,2018-03-13 09:48:47.321,UTC-0300,1.1313361000000002,2018-03-12 23:55:14.000,1.8055556,1001,2018-03-12 23:36:00.000,71.71,2018-03-12,23:36:00,2018-03-12,0 days 00:19:14.405000000,19.240083333333335,23,23,Walking,19
78,1128.04,1098455,2018-03-12 19:55:15.258,2018-03-12 19:55:15.258,UTC-0300,1.2947123,2018-03-12 19:54:13.305,1.7222221999999998,1001,2018-03-12 19:35:54.850,66.58,2018-03-12,19:35:54.850000,2018-03-12,0 days 00:18:18.455000000,18.307583333333337,19,19,Walking,18
296,1173.34,909877,2018-03-12 19:59:08.597,2018-03-12 19:59:08.597,UTC-0300,1.2895589,2018-03-12 19:53:09.000,2.3055556,1001,2018-03-12 19:38:00.000,64.08,2018-03-12,19:38:00,2018-03-12,0 days 00:15:09.877000000,15.164616666666667,19,19,Walking,15
394,2216.45,1855432,2018-03-16 22:57:11.880,2018-03-16 22:57:11.880,UTC-0300,1.1945735,2018-03-16 22:55:55.000,1.5,1001,2018-03-16 22:25:00.000,116.42,2018-03-16,22:25:00,2018-03-16,0 days 00:30:55.432000000,30.923866666666665,22,22,Walking,30
305,2138.9,1881582,2018-03-16 22:56:53.364,2018-03-16 22:56:53.364,UTC-0300,1.3307831,2018-03-16 22:55:53.580,1.5833334,1001,2018-03-16 22:24:31.998,123.2,2018-03-16,22:24:31.998000,2018-03-16,0 days 00:31:21.582000000,31.3597,22,22,Walking,31
56,1134.25,1255688,2018-03-18 22:50:06.400,2018-03-18 22:50:06.400,UTC-0300,0.8917478999999999,2018-03-18 22:49:05.416,1.0833334,1001,2018-03-18 22:28:09.728,73.97,2018-03-18,22:28:09.728000,2018-03-18,0 days 00:20:55.688000000,20.928133333333335,22,22,Walking,20
259,2245.98,1747078,2018-03-20 22:25:12.933,2018-03-20 22:25:12.933,UTC-0300,1.2855637,2018-03-20 22:24:07.000,2.7777777,1001,2018-03-20 21:55:00.000,120.58,2018-03-20,21:55:00,2018-03-20,0 days 00:29:07.078000000,29.11796666666667,21,22,Walking,29
422,1992.51,1834331,2018-03-20 22:25:16.241,2018-03-20 22:25:16.241,UTC-0300,1.2183607,2018-03-20 22:24:15.077,1.4722222,1001,2018-03-20 21:53:40.746,119.09,2018-03-20,21:53:40.746000,2018-03-20,0 days 00:30:34.331000000,30.572183333333335,21,22,Walking,30
25,3075.3,2344680,2018-03-20 23:07:06.503,2018-03-20 23:07:06.503,UTC-0300,1.3116075,2018-03-20 23:06:04.000,1.5833334,1001,2018-03-20 22:27:00.000,159.64,2018-03-20,22:27:00,2018-03-20,0 days 00:39:04.680000000,39.078,22,23,Walking,39
