Unnamed: 0,distance,duration,update_time,create_time,time_offset,mean_speed,end_time,max_speed,exercise_type,start_time,calorie,start_date,start,end_date,exercise_duration,exercise_duration_minutes,start_hour,end_hour,type
28,2798.658,2577253,2018-01-20 22:10:56.845,2018-01-20 22:10:56.845,UTC-0400,1.2107362,2018-01-20 22:09:56.698,1.6666666,1001,2018-01-20 21:26:59.445,178.55,2018-01-20,21:26:59.445000,2018-01-20,0 days 00:42:57.253000000,42.95421666666667,21,22,Walking
195,2197.811,1665872,2018-01-20 21:08:18.345,2018-01-20 21:08:18.345,UTC-0400,1.3096772,2018-01-20 21:07:18.209,1.5,1001,2018-01-20 20:39:32.337,124.8,2018-01-20,20:39:32.337000,2018-01-20,0 days 00:27:45.872000000,27.764533333333336,20,21,Walking
282,0.0,1800000,2018-01-21 11:51:00.441,2018-01-21 11:50:56.837,UTC-0400,0.0,2018-01-21 11:50:00.000,,14001,2018-01-21 11:20:00.000,252.0,2018-01-21,11:20:00,2018-01-21,0 days 00:30:00.000000000,30.0,11,11,Swimming
261,1218.266,1162797,2018-01-22 21:54:41.372,2018-01-22 21:54:41.372,UTC-0400,1.5051749,2018-01-22 21:53:39.320,1.877088,1001,2018-01-22 21:34:16.523,77.37,2018-01-22,21:34:16.523000,2018-01-22,0 days 00:19:22.797000000,19.37995,21,21,Walking
407,0.0,1800000,2018-01-23 14:06:02.838,2018-01-23 14:05:59.025,UTC-0400,0.0,2018-01-23 12:42:00.000,,14001,2018-01-23 12:12:00.000,252.0,2018-01-23,12:12:00,2018-01-23,0 days 00:30:00.000000000,30.0,12,12,Swimming
194,0.0,1800000,2018-01-27 15:09:23.176,2018-01-27 15:08:40.225,UTC-0400,0.0,2018-01-27 15:08:00.000,,14001,2018-01-27 14:38:00.000,252.0,2018-01-27,14:38:00,2018-01-27,0 days 00:30:00.000000000,30.0,14,15,Swimming
201,1171.43,1088026,2018-01-29 23:40:43.472,2018-01-29 23:40:43.472,UTC-0400,1.431059,2018-01-29 23:39:41.821,1.6388888,1001,2018-01-29 23:21:33.795,82.11,2018-01-29,23:21:33.795000,2018-01-29,0 days 00:18:08.026000000,18.133766666666666,23,23,Walking
360,0.0,1800000,2018-01-30 13:17:00.689,2018-01-30 13:16:55.140,UTC-0400,0.0,2018-01-30 13:16:00.000,,14001,2018-01-30 12:46:00.000,252.0,2018-01-30,12:46:00,2018-01-30,0 days 00:30:00.000000000,30.0,12,13,Swimming
45,1076.869,906462,2018-01-31 13:14:56.332,2018-01-31 13:14:56.332,UTC-0400,1.5027097,2018-01-31 13:13:58.877,1.75,1001,2018-01-31 12:58:52.415,70.64,2018-01-31,12:58:52.415000,2018-01-31,0 days 00:15:06.462000000,15.107700000000001,12,13,Walking
105,0.0,1800000,2018-02-01 13:20:35.543,2018-02-01 13:20:32.905,UTC-0400,0.0,2018-02-01 13:20:00.000,,14001,2018-02-01 12:50:00.000,252.0,2018-02-01,12:50:00,2018-02-01,0 days 00:30:00.000000000,30.0,12,13,Swimming
65,1115.53,903084,2018-02-01 13:06:43.198,2018-02-01 13:06:43.198,UTC-0400,1.2352451,2018-02-01 02:08:03.000,2.0277777,1001,2018-02-01 01:53:00.000,66.11,2018-02-01,01:53:00,2018-02-01,0 days 00:15:03.084000000,15.051400000000001,1,2,Walking
177,1454.98,1097474,2018-02-05 23:50:38.888,2018-02-05 23:50:38.888,UTC-0400,1.3257536,2018-02-05 23:49:27.000,3.2222223,1001,2018-02-05 23:31:10.000,105.6,2018-02-05,23:31:10,2018-02-05,0 days 00:18:17.474000000,18.291233333333334,23,23,Walking
449,0.0,1800000,2018-02-06 15:04:05.513,2018-02-06 15:04:02.872,UTC-0400,0.0,2018-02-06 13:03:00.000,,14001,2018-02-06 12:33:00.000,252.0,2018-02-06,12:33:00,2018-02-06,0 days 00:30:00.000000000,30.0,12,13,Swimming
49,1136.598,957463,2018-02-07 13:08:29.315,2018-02-07 13:08:29.315,UTC-0400,1.5318687,2018-02-07 13:07:27.775,2.1388888,1001,2018-02-07 12:51:30.312,71.12,2018-02-07,12:51:30.312000,2018-02-07,0 days 00:15:57.463000000,15.957716666666668,12,13,Walking
129,0.0,1800000,2018-02-08 17:56:06.623,2018-02-08 17:56:06.399,UTC-0400,0.0,2018-02-08 12:55:00.000,,14001,2018-02-08 12:25:00.000,252.0,2018-02-08,12:25:00,2018-02-08,0 days 00:30:00.000000000,30.0,12,12,Swimming
302,1036.66,964195,2018-02-08 02:29:04.307,2018-02-08 02:29:04.307,UTC-0400,1.0751559,2018-02-08 02:11:04.000,3.7222223,1001,2018-02-08 01:55:00.000,61.31,2018-02-08,01:55:00,2018-02-08,0 days 00:16:04.195000000,16.069916666666668,1,2,Walking
275,0.0,1800000,2018-02-12 13:04:48.494,2018-02-12 13:04:45.642,UTC-0400,0.0,2018-02-10 13:04:00.000,,14001,2018-02-10 12:34:00.000,252.0,2018-02-10,12:34:00,2018-02-10,0 days 00:30:00.000000000,30.0,12,13,Swimming
308,989.601,959484,2018-02-12 23:47:11.367,2018-02-12 23:47:11.367,UTC-0400,1.4408858,2018-02-12 23:46:10.688,1.6944444,1001,2018-02-12 23:30:11.204,71.39,2018-02-12,23:30:11.204000,2018-02-12,0 days 00:15:59.484000000,15.9914,23,23,Walking
230,1084.58,914525,2018-02-15 02:21:36.397,2018-02-15 02:21:36.397,UTC-0400,1.1859491000000002,2018-02-15 02:07:14.000,1.5555556,1001,2018-02-15 01:52:00.000,78.59,2018-02-15,01:52:00,2018-02-15,0 days 00:15:14.525000000,15.242083333333335,1,2,Walking
53,934.951,984817,2018-02-15 02:09:17.341,2018-02-15 02:09:17.341,UTC-0400,1.25406,2018-02-15 02:08:16.295,1.6666666,1001,2018-02-15 01:51:51.478,75.46,2018-02-15,01:51:51.478000,2018-02-15,0 days 00:16:24.817000000,16.413616666666666,1,2,Walking
66,0.0,1800000,2018-02-15 14:55:58.811,2018-02-15 14:55:58.597,UTC-0400,0.0,2018-02-15 12:55:00.000,,14001,2018-02-15 12:25:00.000,252.0,2018-02-15,12:25:00,2018-02-15,0 days 00:30:00.000000000,30.0,12,12,Swimming
428,945.985,1006886,2018-02-17 02:10:43.442,2018-02-17 02:10:43.442,UTC-0400,1.3250204,2018-02-17 02:09:43.366,1.75,1001,2018-02-17 01:52:56.480,77.51,2018-02-17,01:52:56.480000,2018-02-17,0 days 00:16:46.886000000,16.781433333333336,1,2,Walking
427,2504.821,2471549,2018-02-17 00:51:01.418,2018-02-17 00:51:01.418,UTC-0400,1.1529497,2018-02-17 00:49:59.542,1.5,1001,2018-02-17 00:08:47.993,149.72,2018-02-17,00:08:47.993000,2018-02-17,0 days 00:41:11.549000000,41.192483333333335,0,0,Walking
96,1590.2720000000004,1577055,2018-02-18 18:43:13.477,2018-02-18 18:43:13.477,UTC-0400,1.0169703,2018-02-18 18:42:14.034,1.3055556,1001,2018-02-18 18:15:56.979,96.22,2018-02-18,18:15:56.979000,2018-02-18,0 days 00:26:17.055000000,26.28425,18,18,Walking
21,1957.181,1856921,2018-02-18 19:15:35.249,2018-02-18 19:15:35.249,UTC-0400,1.1661304,2018-02-18 19:14:35.430,1.4722222,1001,2018-02-18 18:43:38.509,116.19,2018-02-18,18:43:38.509000,2018-02-18,0 days 00:30:56.921000000,30.948683333333335,18,19,Walking
446,2910.113,2438135,2018-02-19 20:47:41.838,2018-02-19 20:47:41.838,UTC-0400,1.286526,2018-02-19 20:46:38.965,1.6666666,1001,2018-02-19 20:06:00.830,168.27,2018-02-19,20:06:00.830000,2018-02-19,0 days 00:40:38.135000000,40.63558333333334,20,20,Walking
50,2005.331,1625812,2018-02-19 21:30:51.052,2018-02-19 21:30:51.052,UTC-0400,1.4405574,2018-02-19 21:29:49.024,1.6944444,1001,2018-02-19 21:02:43.212,121.0,2018-02-19,21:02:43.212000,2018-02-19,0 days 00:27:05.812000000,27.096866666666667,21,21,Walking
463,6279.134,4614539,2018-02-23 00:03:38.794,2018-02-22 23:57:23.498,UTC-0400,1.3613271999999998,2018-02-22 23:57:23.184,4.5280000000000005,1001,2018-02-22 22:27:10.491,467.891,2018-02-22,22:27:10.491000,2018-02-22,0 days 01:16:54.539000000,76.90898333333334,22,23,Walking
157,1739.942,2031226,2018-02-24 23:24:39.351,2018-02-24 23:24:39.351,UTC-0400,0.98188126,2018-02-24 23:23:38.308,1.5240619,1001,2018-02-24 22:49:47.082,110.92,2018-02-24,22:49:47.082000,2018-02-24,0 days 00:33:51.226000000,33.853766666666665,22,23,Walking
480,,2471517,2018-02-24 18:31:04.288,2018-02-24 18:31:04.288,UTC-0400,,2018-02-24 18:28:58.514,,11007,2018-02-24 17:47:46.997,461.349,2018-02-24,17:47:46.997000,2018-02-24,0 days 00:41:11.517000000,41.191950000000006,17,18,Cycling
413,,1058623,2018-02-24 20:18:01.824,2018-02-24 19:42:59.226,UTC-0400,,2018-02-24 19:40:53.932,,11007,2018-02-24 19:23:15.309,197.609,2018-02-24,19:23:15.309000,2018-02-24,0 days 00:17:38.623000000,17.643716666666666,19,19,Cycling
131,1037.82,1017076,2018-03-01 00:13:52.221,2018-03-01 00:13:52.221,UTC-0400,1.3674446000000002,2018-03-01 00:12:51.189,1.7777778000000002,1001,2018-02-28 23:55:54.113,70.51,2018-02-28,23:55:54.113000,2018-03-01,0 days 00:16:57.076000000,16.951266666666665,23,0,Walking
29,0.0,1800000,2018-03-01 22:56:06.598,2018-03-01 22:55:54.387,UTC-0400,0.0,2018-03-01 22:55:00.000,,14001,2018-03-01 22:25:00.000,252.0,2018-03-01,22:25:00,2018-03-01,0 days 00:30:00.000000000,30.0,22,22,Swimming
330,1595.23,1557826,2018-03-03 23:11:09.956,2018-03-03 23:11:09.956,UTC-0400,1.0354218000000002,2018-03-03 23:10:08.445,1.3055556,1001,2018-03-03 22:44:10.619,98.65,2018-03-03,22:44:10.619000,2018-03-03,0 days 00:25:57.826000000,25.963766666666668,22,23,Walking
412,1981.08,1773072,2018-03-03 22:33:35.647,2018-03-03 22:33:35.647,UTC-0400,1.2438281999999998,2018-03-03 22:32:34.335,1.6388888,1001,2018-03-03 22:03:01.263,116.61,2018-03-03,22:03:01.263000,2018-03-03,0 days 00:29:33.072000000,29.5512,22,22,Walking
367,1301.747,1129419,2018-03-04 00:04:34.441,2018-03-04 00:04:34.441,UTC-0400,1.2251438,2018-03-04 00:03:33.213,1.3888888,1001,2018-03-03 23:44:43.794,76.0,2018-03-03,23:44:43.794000,2018-03-04,0 days 00:18:49.419000000,18.82365,23,0,Walking
372,1173.182,1226638,2018-03-04 20:56:10.361,2018-03-04 20:56:10.361,UTC-0400,1.1157646,2018-03-04 20:55:08.778,1.6111112,1001,2018-03-04 20:34:42.140,71.46,2018-03-04,20:34:42.140000,2018-03-04,0 days 00:20:26.638000000,20.443966666666668,20,20,Walking
