day_of_week_y,calorie,exercise_duration_minutes,efficiency,sleep_duration
Friday,391.6283254418605,66.52005000000001,87.9830436744186,437.3233555711619
Monday,312.14953488372095,55.701846124031015,86.11120561627907,402.40366265627904
Saturday,359.3238295744681,61.555916666666654,86.69388970921983,410.22577682701996
Sunday,373.5951617567568,62.34088828828828,87.25045574324324,386.68197442189137
Thursday,329.8193488372092,53.85016201550388,91.20935594186045,442.03624271348804
Tuesday,286.45771898076913,48.16972596153847,88.81399348076921,399.5971277488455
Wednesday,304.82956756756766,47.08218423423424,89.13118234234233,412.6088378256747
