index,start_date,calorie,exercise_duration_minutes,time_offset,date,efficiency,quality,sleep_duration,day_of_week_y,week_number,status
44,2018-02-22,467.891,76.90898333333334,UTC-0400,2018-02-22,95.76471,,406.04237040000004,Thursday,9,No_Travel
45,2018-02-24,856.498,107.98363333333334,UTC-0400,2018-02-24,87.78801999999997,,380.12212659998335,Saturday,9,No_Travel
46,2018-02-28,393.174,77.60495,UTC-0400,2018-02-28,94.230774,,392.00001984000005,Wednesday,10,No_Travel
47,2018-03-01,252.0,30.0,UTC-0400,2018-03-01,93.84289,50003.0,442.0000119,Thursday,10,No_Travel
48,2018-03-03,291.26,74.33861666666667,UTC-0400,2018-03-03,93.11111,50003.0,418.06888390000006,Saturday,10,No_Travel
49,2018-03-05,268.913,54.61805000000001,UTC-0400,2018-03-05,94.654785,,424.99998465000004,Monday,11,No_Travel
50,2018-03-06,59.57,15.761150000000002,UTC-0400,2018-03-06,92.50457,50004.0,505.0749522,Tuesday,11,No_Travel
51,2018-03-07,210.0,25.0,UTC-0400,2018-03-07,92.66304,50003.0,340.0733568,Wednesday,11,No_Travel
52,2018-03-08,226.056,42.50520000000001,UTC-0400,2018-03-08,96.57258,50005.0,478.9999968,Thursday,11,No_Travel
53,2018-03-10,315.881,59.384550000000004,UTC-0400,2018-03-10,93.04933,50003.0,414.0695185000001,Saturday,11,No_Travel
54,2018-03-11,472.313,93.43465,UTC-0300,2018-03-11,96.22093,,330.03778990000006,Sunday,11,No_Travel
55,2018-03-12,270.45,69.50941666666668,UTC-0300,2018-03-12,95.13184,,468.0486528,Monday,12,No_Travel
56,2018-03-13,252.0,30.0,UTC-0300,2018-03-13,95.13184,,468.9999712,Tuesday,12,No_Travel
57,2018-03-16,239.62,62.283566666666665,UTC-0300,2018-03-16,92.227727,,440.15546748,Friday,12,No_Travel
58,2018-03-18,73.97,20.928133333333335,UTC-0300,2018-03-18,93.7788,,406.062204,Sunday,12,No_Travel
59,2018-03-20,725.33,158.0340666666667,UTC-0300,2018-03-20,92.42762,,415.0000138,Tuesday,13,No_Travel
60,2018-03-23,493.28,119.77551666666666,UTC-0300,2018-03-23,91.86813,,417.0813102,Friday,13,No_Travel
61,2018-03-25,497.47999000000004,128.01835,UTC-0300,2018-03-25,94.416245,,371.05584285000003,Sunday,13,No_Travel
62,2018-03-26,306.53,71.32675,UTC-0300,2018-03-26,93.01397,,465.9999897,Monday,14,No_Travel
63,2018-03-29,392.32000000000005,62.06568333333334,UTC-0300,2018-03-29,94.34889,,383.9999823,Thursday,14,No_Travel
64,2018-03-30,846.6899900000001,213.58468333333337,UTC-0300,2018-03-30,94.672134,,462.00001392,Friday,14,No_Travel
65,2018-03-31,352.825,66.32395000000001,UTC-0300,2018-03-31,94.97207,,339.05028990000005,Saturday,14,No_Travel
66,2018-04-01,120.03999999999999,34.95256666666667,UTC-0300,2018-04-01,92.78847,,385.0721505,Sunday,14,No_Travel
67,2018-04-03,252.0,30.0,UTC-0300,2018-04-03,89.12807000000001,,437.0552664,Tuesday,15,No_Travel
68,2018-04-06,499.22,88.18721666666667,UTC-0300,2018-04-06,94.67005,,372.05329650000004,Friday,15,No_Travel
69,2018-04-07,257.871,48.47656666666667,UTC-0300,2018-04-07,86.29169333333334,,442.41125840000007,Saturday,15,No_Travel
70,2018-04-10,159.23000000000002,32.21523333333333,UTC-0300,2018-04-10,91.36069,,422.0863878,Tuesday,16,No_Travel
71,2018-04-12,465.631,90.59046666666667,UTC-0300,2018-04-12,88.09524,,443.1190572,Thursday,16,No_Travel
72,2018-04-13,217.86,57.43076666666667,UTC-0300,2018-04-13,90.91339,,471.1817303,Friday,16,No_Travel
73,2018-04-14,378.322,71.1142,UTC-0300,2018-04-14,93.93939,,464.0605866,Saturday,16,No_Travel
74,2018-04-17,215.255,40.47130000000001,UTC-0300,2018-04-17,91.91686,,397.0808352,Tuesday,17,No_Travel
75,2018-04-18,389.267,73.1806,UTC-0300,2018-04-18,91.45728,,363.0854016,Wednesday,17,No_Travel
76,2018-04-19,221.101,41.60191666666667,UTC-0300,2018-04-19,93.71197,,461.06289240000007,Thursday,17,No_Travel
77,2018-04-20,92.7,24.62586666666667,UTC-0300,2018-04-20,94.1691,,322.05832200000003,Friday,17,No_Travel
78,2018-04-21,201.0,24.0,UTC-0300,2018-04-21,91.95046,,296.0804812,Saturday,17,No_Travel
79,2018-04-22,315.47,80.0764,UTC-0300,2018-04-22,96.55172,,335.03446840000004,Sunday,17,No_Travel
80,2018-04-24,535.93,98.78481666666667,UTC-0300,2018-04-24,93.421677,,422.13154428,Tuesday,18,No_Travel
81,2018-04-27,526.9300000000001,125.88906666666668,UTC-0300,2018-04-27,90.97941499999999,,301.18041859998334,Friday,18,No_Travel
82,2018-04-28,252.0,30.0,UTC-0300,2018-04-28,92.97052,,409.9999932,Saturday,18,No_Travel
83,2018-04-29,252.0,30.0,UTC-0300,2018-04-29,93.08756,,201.06912960000002,Sunday,18,No_Travel
84,2018-05-01,336.0,40.0,UTC-0300,2018-05-01,91.62304,,349.0837824,Tuesday,19,No_Travel
85,2018-05-05,60.91,15.291300000000001,UTC-0300,2018-05-05,0.0,50002.0,0.0,Saturday,19,No_Travel
86,2018-05-06,385.32,102.85621666666668,UTC-0300,2018-05-06,92.244896,,451.9999904,Sunday,19,No_Travel
87,2018-05-07,103.6,17.83761666666667,UTC-0300,2018-05-07,0.0,50001.0,0.0,Monday,20,No_Travel
88,2018-05-08,67.67,20.12255,UTC-0300,2018-05-08,91.78082,,334.999993,Tuesday,20,No_Travel
89,2018-05-09,252.0,30.0,UTC-0300,2018-05-09,92.484344,,442.07516432000006,Wednesday,20,No_Travel
90,2018-05-11,345.666,64.98481666666667,UTC-0300,2018-05-11,93.305435,,445.06692495,Friday,20,No_Travel
91,2018-05-14,252.0,30.0,UTC-0300,2018-05-14,93.28947500000001,,393.0789682000001,Monday,21,No_Travel
92,2018-05-15,428.60699999999997,85.84823333333334,UTC-0300,2018-05-15,95.06726,,423.04930700000006,Tuesday,21,No_Travel
93,2018-05-16,76.59,17.901883333333334,UTC-0300,2018-05-16,91.72577,,388.00000710000006,Wednesday,21,No_Travel
94,2018-05-17,506.6690000000001,49.74671666666667,UTC-0300,2018-05-17,91.075516,,398.00000492000004,Thursday,21,No_Travel
95,2018-05-18,456.538,95.31231666666667,UTC-0300,2018-05-18,87.7185525,,454.24563075000003,Friday,21,No_Travel
96,2018-05-20,267.66,69.29906666666668,UTC-0300,2018-05-20,92.821785,,374.07179355,Sunday,21,No_Travel
97,2018-05-22,394.11800000000005,74.08996666666667,UTC-0300,2018-05-22,93.333336,,434.0000124,Tuesday,22,No_Travel
98,2018-05-24,252.0,30.0,UTC-0300,2018-05-24,92.30769,,443.07691200000005,Thursday,22,No_Travel
99,2018-05-25,444.949,83.65658333333334,UTC-0300,2018-05-25,92.07317,,452.99999640000004,Friday,22,No_Travel
100,2018-05-26,270.89,65.75555,UTC-0300,2018-05-26,91.847824,,337.08151408,Saturday,22,No_Travel
101,2018-05-27,252.0,30.0,UTC-0300,2018-05-27,88.53333,,331.1146542,Sunday,22,No_Travel
102,2018-05-28,57.63,16.490983333333336,UTC-0300,2018-05-28,89.995107,,428.99999622,Monday,23,No_Travel
103,2018-05-29,252.0,30.0,UTC-0300,2018-05-29,91.40049300000001,,315.08108838000004,Tuesday,23,No_Travel
104,2018-05-30,339.336,74.99848333333334,UTC-0300,2018-05-30,91.316352,,434.0702333400001,Wednesday,23,No_Travel
